date,state,city_or_county,address,n_killed,n_injured,congressional_district,gun_stolen,latitude,longitude,n_guns_involved,participant_age_group,participant_gender,participant_relationship,participant_type,state_house_district,state_senate_district
2013-05-20,Illinois,Chicago,5200 block of West Iowa Street,0,4,7,NA,41.8968,-87.7556,NA,0::Teen 12-17||1::Teen 12-17||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Male||1::Female||2::Female||3::Female||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,8,4
2013-05-23,Tennessee,Bean Station,1034 Main Street,2,2,2,0::Unknown,36.3474,-83.2849,1,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Male||1::Male||2::Female||3::Female||4::Male,4::Armed Robbery,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,35,8
2013-05-24,California,Bakersfield,3700 block of Columbus Street,2,2,23,NA,35.3998,-118.952,NA,0::Adult 18+||1::Teen 12-17||4::Adult 18+,0::Male||1::Male||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,34,16
2013-05-25,Michigan,Flint,1100 block of Paterson,1,3,5,0::Unknown,43.034,-83.7182,1,0::Adult 18+||4::Adult 18+||5::Adult 18+,0::Female||1::Female||2::Female||3::Male||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect||5::Subject-Suspect,34,27
2013-05-25,Virginia,Hampton,1900 block of Coliseum Drive,1,4,3,NA,37.0377,-76.3859,NA,0::Teen 12-17||1::Teen 12-17||2::Teen 12-17||3::Teen 12-17||4::Adult 18+||5::Teen 12-17||6::Teen 12-17,0::Male||5::Male||6::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Subject-Suspect||6::Subject-Suspect,92,2
2013-05-28,Tennessee,Memphis,2850 Brewer Avenue,1,3,9,NA,35.0848,-89.9678,NA,0::Teen 12-17||1::Adult 18+||2::Adult 18+||3::Adult 18+,0::Female||1::Male||2::Male||3::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim,91,33
2013-05-29,Illinois,Chicago,NA,0,4,7,NA,41.8859,-87.6251,NA,0::Adult 18+||1::Adult 18+||2::Teen 12-17||3::Teen 12-17||4::Adult 18+,0::Female||1::Female||2::Female||3::Male||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,5,3
2013-05-31,Georgia,Atlanta,1000 block of Fair Street,0,4,5,NA,33.749,-84.4211,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Female||1::Female||2::Female||3::Female||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,56,39
2013-06-01,Wisconsin,Milwaukee,4126 N Teutonia Ave,0,4,4,NA,43.092,-87.94,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+,NA,NA,0::Victim||1::Victim||2::Victim||3::Victim,10,4
2013-06-01,California,Vallejo,1st block of Linfield Drive,2,2,5,NA,38.1472,-122.24,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Male||1::Male||2::Male||3::Male||4::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,14,3
2013-06-02,Indiana,Indianapolis,1913 East 46th Street,0,4,7,NA,39.8401,-86.1289,NA,NA,NA,NA,0::Victim||1::Victim||2::Victim||3::Victim,96,33
2013-06-02,Virginia,Virginia Beach,4000 block of Roebling Lane,0,7,2,NA,36.8459,-76.1171,NA,3::Adult 18+||4::Adult 18+||5::Adult 18+||6::Adult 18+||7::Adult 18+||8::Adult 18+||9::Adult 18+,3::Male||4::Male||5::Male||6::Male||8::Male||9::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect||5::Subject-Suspect||6::Subject-Suspect||7::Subject-Suspect||8::Subject-Suspect||9::Subject-Suspect,82,7
2013-06-02,Georgia,Lagrange,Union Street,0,7,3,NA,33.0354,-85.0244,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+||6::Adult 18+||7::Adult 18+||8::Adult 18+||9::Adult 18+,0::Female||1::Male||2::Male||3::Male||4::Male||5::Male||6::Male||7::Male||8::Male||9::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Victim||6::Victim||7::Subject-Suspect||8::Subject-Suspect||9::Subject-Suspect,132,29
2013-06-07,California,Santa Monica,2036 Yorkshire Ave,6,1,33,0::Not-stolen||1::Unknown,34.026,-118.461,2,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+||6::Adult 18+,0::Male||1::Male||2::Male||3::Female||4::Female||5::Female||6::Male,NA,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Victim||6::Subject-Suspect,50,26
2013-06-09,Pennsylvania,York,600 block of West Princess Street,0,4,4,NA,39.955,-76.7412,NA,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Teen 12-17,0::Male||1::Male||2::Male||3::Female,NA,0::Victim||1::Victim||2::Victim||3::Victim,NA,NA
